acid,MG,ST,FC,P_CLR,P_FRM,P_DENS,POD,SC_L,SC_CLR,H_CLR,protein,oil,Linoleic,Linolenic,eno,R1,R8,Hgt,Mat,Ldg,SQ,SdWgt,Yield,CommonName
PI437437A,II,N,P,G,E,N,Br,D,G,Ib,42.1,20.8,53.3,6.8,12003.0,703.0,909.0,91.0,909.0,2.3,2.5,18.2,3.49,Ussurijscaja 569
PI437437B,II,N,P,Lt,E,N,Br,D,G,Bl,42.0,21.3,53.8,7.0,12003.0,702.0,909.0,92.0,909.0,2.0,2.3,17.3,3.3,Ussurijscaja 569
PI437438,II,N,P,T,E,N,Br,D,Y,Br,46.4,18.4,58.2,7.8,12003.0,707.0,917.0,114.0,917.0,3.6,2.5,16.9,3.2,Ussurijscaja 575
PI437439,I,N,P,G,E,N,Br,S,Y,Y,44.7,17.7,51.9,7.0,12002.0,707.0,905.0,90.0,905.0,2.8,3.0,18.0,3.6,Ussurijscaja 577
PI437440,II,N,P,T,E,Ssp,Br,D,Y,Bl,45.9,19.2,56.7,6.7,12003.0,708.0,907.0,93.0,907.0,2.9,2.3,14.1,2.95,Ussurijscaja 581
PI437441,II,N,P,T,E,Ssp,Br,D,Y,Br,44.0,19.5,57.6,7.6,12003.0,630.0,907.0,92.0,907.0,2.3,2.0,14.0,2.84,Ussurijscaja 585
PI437442,I,N,P,G,E,N,Br,D,Y,Y,43.8,18.2,54.7,7.5,12002.0,704.0,906.0,91.0,906.0,2.4,2.8,16.7,3.44,Ussurijscaja 586
PI437443,I,N,W,T,E,N,Br,I,Y,Bl,44.0,18.7,54.8,7.4,12002.0,701.0,911.0,104.0,911.0,2.8,2.8,19.8,3.59,Ussurijscaja 587
PI437444,III,N,P,T,E,N,Tn,D,Y,Bl,45.0,17.8,54.6,7.8,12005.0,712.0,925.0,123.0,925.0,3.0,2.3,15.3,2.45,Ussurijscaja 592
PI437445,I,N,Dp,G,E,N,Br,S,Y,Y,43.7,17.9,53.0,7.1,12002.0,705.0,904.0,86.0,904.0,2.3,2.8,18.0,3.34,Ussurijscaja 595
PI437446,II,N,W,G,E,N,Tn,S,Y,Bf,41.6,20.9,53.0,6.6,12003.0,701.0,908.0,77.0,908.0,1.8,2.0,15.0,3.17,Ussurijscaja 602
PI437447,II,N,P,G,E,N,Br,I,Y,Y,43.2,20.7,54.8,6.8,12003.0,630.0,910.0,92.0,910.0,2.4,2.5,19.9,3.1,Ussurijscaja 608
PI437448,II,N,P,T,E,Ssp,Br,I,Y,Bl,46.9,17.3,57.9,7.3,12003.0,707.0,910.0,103.0,910.0,3.8,2.5,13.4,2.55,Ussurijscaja 628
PI437449,I,N,P,G,E,N,Tn,S,Y,Y,45.9,18.2,55.8,7.4,12002.0,703.0,830.0,90.0,830.0,2.5,3.0,15.6,2.99,Ussurijscaja 632
PI437450,I,N,Dp,G,E,N,Br,S,Y,Y,44.5,17.9,53.3,7.0,12002.0,705.0,906.0,89.0,906.0,2.8,3.3,19.0,3.23,Ussurijscaja 636
PI437451,II,N,P,T,E,N,Br,S,Y,Bl,43.0,20.3,56.4,7.1,12003.0,630.0,910.0,108.0,910.0,2.1,2.5,16.6,2.91,Ussurijscaja 639
PI437452A,I,N,P,T,E,Ssp,Tn,S,Y,Br,44.0,19.3,55.3,7.3,12002.0,710.0,904.0,81.0,904.0,2.1,2.5,12.9,3.37,Ussurijscaja 640
PI437452B,III,N,P,T,E,Ssp,Br,D,Y,Br,45.3,16.6,60.0,8.0,12005.0,713.0,925.0,103.0,925.0,2.3,2.3,14.6,2.53,Ussurijscaja 640
PI437453,II,N,P,T,E,N,Lbr,I,Y,Br,46.6,18.2,60.9,7.6,12003.0,629.0,910.0,94.0,910.0,1.5,2.0,14.6,3.12,Ussurijscaja 647
PI437454,II,N,P,T,E,N,Br,D,Lgn,Br,44.5,18.9,58.6,8.3,12003.0,711.0,917.0,96.0,917.0,3.3,2.3,13.6,2.39,Ussurijscaja 648
PI437455,II,N,P,G,E,N,Br,I,Y,Y,45.4,18.1,56.8,8.3,12003.0,703.0,914.0,93.0,914.0,2.8,2.5,14.7,2.41,Ussurijscaja 649
PI437456,III,N,P,T,E,Ssp,Br,D,Y,Bl,44.8,16.9,56.0,8.3,12005.0,714.0,920.0,115.0,920.0,3.8,2.0,12.4,2.63,Ussurijscaja 651
PI437457,II,N,P,T,E,N,Br,I,Y,Y,44.2,19.5,60.3,7.0,12003.0,706.0,912.0,81.0,912.0,3.8,2.5,14.9,2.79,Ussurijscaja 653
PI437458A,II,N,W,T,E,N,Br,I,Y,Y,43.8,20.1,51.4,5.7,12003.0,704.0,909.0,116.0,909.0,2.8,3.3,17.5,2.94,Ussurijscaja 658
PI437458B,II,N,P,T,E,N,Br,I,Y,Y,45.8,16.9,52.9,7.5,12003.0,712.0,921.0,110.0,921.0,3.8,3.0,16.4,2.75,Ussurijscaja 658
PI437459,III,N,P,G,E,Ssp,Br,I,Y,Y,44.2,18.1,53.6,8.8,12003.0,716.0,923.0,113.0,923.0,3.0,2.5,14.8,2.96,Ussurijscaja 660
PI437460,II,N,P,T,E,N,Br,D,Lgn,Br,44.7,17.3,53.4,7.1,12003.0,715.0,921.0,109.0,921.0,3.9,2.5,14.8,2.58,Ussurijscaja 668
PI437461,III,N,P,T,E,Ssp,Br,I,Br,Br,49.4,15.6,57.4,8.6,12005.0,713.0,923.0,114.0,923.0,4.0,2.5,17.0,2.68,Ussurijscaja 670
PI437462D,III,N,P,T,E,Ssp,Tn,D,Y,Br,44.9,17.4,59.2,7.5,12005.0,711.0,924.0,101.0,924.0,2.5,2.5,15.4,2.56,Ussurijscaja 672
PI437463A,II,N,P,G,E,N,Br,I,Y,Y,44.8,18.5,55.9,7.3,12003.0,705.0,910.0,107.0,910.0,2.3,3.0,16.4,3.02,Ussurijscaja 674
PI437464,III,N,P,T,E,N,Br,I,Y,Br,44.7,17.3,55.6,10.8,12005.0,713.0,920.0,130.0,920.0,3.3,3.3,16.5,2.8,Ussurijscaja 675
PI437465,II,N,P,T,E,N,Lbr,D,Bl,Bl,45.9,17.3,54.0,6.4,12003.0,712.0,914.0,98.0,914.0,4.0,2.3,13.5,2.32,Ussurijscaja 678
PI437466,III,N,P,T,E,N,Br,D,Y,Y,44.6,17.3,57.3,8.1,12005.0,711.0,922.0,110.0,922.0,2.8,2.5,15.1,2.51,Ussurijscaja 683
PI437467,III,N,P,T,E,N,Br,D,Y,Br,46.4,16.8,59.7,9.7,12005.0,711.0,921.0,113.0,921.0,3.3,2.5,15.7,2.64,Ussurijscaja 684
PI437468,I,N,P,T,E,N,Br,D,Y,Br,44.6,17.8,56.0,6.4,12002.0,705.0,906.0,113.0,906.0,4.0,2.8,12.0,3.11,Ussurijscaja 686
PI437469A,I,N,P,T,E,N,Tn,I,Y,Br,44.7,18.3,56.1,7.5,12002.0,707.0,907.0,76.0,907.0,2.0,2.5,12.8,3.64,Ussurijscaja 687
PI437469B,I,N,P,T,E,N,Br,I,Y,Br,45.3,17.5,57.1,6.2,12002.0,712.0,908.0,90.0,908.0,2.6,2.5,14.3,3.41,Ussurijscaja 687
PI437470,II,N,P,T,E,N,Br,S,Y,Bl,42.3,19.8,57.1,8.2,12003.0,707.0,917.0,123.0,917.0,3.9,2.5,14.0,2.44,Ussurijscaja 877
PI437471,I,N,P,T,E,Ssp,Tn,D,Y,Y,43.0,19.6,55.5,6.7,12002.0,703.0,903.0,76.0,903.0,4.0,2.8,14.7,3.35,VIR 29 Ulutssen
PI437472,II,N,P,T,E,N,Dbr,S,Y,Bl,41.9,18.9,56.1,7.0,12003.0,709.0,916.0,110.0,916.0,2.8,2.8,13.4,2.5,VIR 76 A-761
PI437473,I,N,P,T,E,N,Br,I,G,G,43.0,19.3,56.1,6.4,12002.0,627.0,827.0,102.0,827.0,1.5,3.3,17.7,3.05,VIR 1501-40
PI437474A,0,N,W,T,E,Ssp,Br,I,Bl,Bl,43.5,17.8,55.7,9.3,12004.0,719.0,926.0,82.0,926.0,4.0,2.0,12.7,2.31,VU-4443
PI437474B,0,N,W,T,E,Ssp,Br,I,Bl,Bl,42.4,17.8,54.4,9.2,12004.0,713.0,918.0,90.0,918.0,3.0,2.0,12.3,2.04,VU-4443
PI437475,II,N,P,T,E,N,Bl,I,Br,Br,46.9,16.7,56.9,8.7,12003.0,710.0,910.0,107.0,910.0,3.8,2.3,11.5,2.62,
PI437476,III,N,P,T,E,N,Br,I,Lgn,Br,45.7,16.4,54.7,6.8,12005.0,716.0,926.0,107.0,926.0,2.8,2.5,12.5,2.16,
PI437477A,I,N,P,T,E,Ssp,Lbr,I,Y,Br,44.8,17.6,58.3,7.4,12002.0,713.0,910.0,96.0,910.0,3.3,2.5,13.8,3.26,
PI437477B,II,N,P,T,E,Ssp,Br,I,Y,Br,46.1,17.6,58.3,8.2,12003.0,707.0,908.0,87.0,908.0,1.5,2.0,12.6,2.4,
PI437478,IV,N,W,T,E,N,Lbr,S,Gnbr,Br,46.6,16.0,55.2,9.7,12005.0,720.0,1001.0,109.0,1001.0,4.0,2.5,12.0,1.76,
PI437479,II,N,P,T,E,Ssp,Br,I,Br,Br,46.5,17.3,54.5,6.8,12003.0,707.0,908.0,89.0,908.0,2.8,2.8,14.6,2.16,
PI437480,II,N,P,T,E,Ssp,Br,D,Y,Br,44.9,18.7,56.0,7.5,12003.0,704.0,907.0,99.0,907.0,2.0,2.3,11.9,2.53,
PI437481,0,N,P,G,E,N,Br,S,Y,Y,42.4,19.0,56.2,9.3,12004.0,713.0,923.0,73.0,923.0,3.0,2.5,17.0,2.4,
PI437482,III,N,P,Ng,E,N,Br,S,Bl,Bl,44.8,15.0,56.9,9.8,12003.0,731.0,924.0,141.0,924.0,3.6,2.3,8.8,2.17,
PI437483,0,N,P,G,E,N,Br,I,Y,Y,42.8,19.4,53.3,8.9,12004.0,714.0,924.0,73.0,924.0,3.0,2.3,18.1,2.38,
PI437484,II,N,P,Lt,E,N,Lbr,D,Bl,Bl,45.2,16.3,55.3,6.4,12003.0,706.0,909.0,79.0,909.0,4.0,2.3,11.3,1.99,
PI437485,II,N,P,G,E,N,Bl,I,Gn,Bf,41.4,17.9,55.1,8.1,12005.0,712.0,911.0,89.0,911.0,3.5,2.5,14.1,2.84,
PI437486,I,N,W,G,E,N,Br,S,Y,Bf,42.8,19.1,49.1,6.4,12002.0,705.0,904.0,80.0,904.0,2.0,2.5,16.5,3.04,
PI437488,II,N,W,T,E,N,Br,I,Bl,Bl,45.0,17.5,50.2,6.0,12003.0,711.0,913.0,89.0,913.0,2.5,2.5,13.7,1.92,
PI437489,II,N,P,T,E,N,Lbr,I,Y,Bl,46.6,18.4,56.5,6.6,12003.0,703.0,910.0,88.0,910.0,1.8,2.5,16.3,2.7,
PI437490,0,N,P,T,E,N,Br,I,Bl,Bl,43.4,18.0,55.9,7.9,12004.0,711.0,919.0,79.0,919.0,4.0,2.3,11.7,1.71,
PI437491,I,N,P,G,E,N,Br,D,Y,Y,43.5,19.3,53.9,6.9,12002.0,707.0,907.0,81.0,907.0,3.0,2.8,17.7,3.87,
PI437492,I,N,P,Lt,E,N,Br,D,Y,Y,45.1,18.5,54.4,8.8,12002.0,712.0,828.0,83.0,828.0,2.7,2.5,12.3,2.81,
PI437493,II,N,P,T,E,N,Br,S,Gnbr,Gnbr,47.3,17.3,54.2,7.8,12003.0,626.0,904.0,98.0,904.0,2.3,2.3,12.2,2.53,
PI437494,II,N,P,T,E,N,Br,D,Bl,Bl,45.4,19.1,53.2,5.4,12003.0,627.0,906.0,87.0,906.0,2.5,2.5,11.1,2.63,
PI437495,II,N,P,T,E,N,Br,I,Br,Br,47.0,18.1,56.8,6.6,12003.0,627.0,904.0,82.0,904.0,1.5,2.0,12.0,2.56,
PI437496,I,N,P,T,E,N,Br,S,Y,Br,44.8,17.9,60.2,7.8,12002.0,710.0,920.0,91.0,920.0,2.8,3.0,12.9,3.04,
PI437497,II,N,W,T,E,N,Br,S,Y,Bl,43.6,19.9,56.2,6.7,12003.0,704.0,913.0,94.0,913.0,2.8,3.0,16.4,3.16,
PI437498,I,N,P,T,E,N,Bl,S,Y,Br,43.8,18.9,59.8,7.8,12002.0,704.0,904.0,89.0,904.0,3.3,3.0,11.4,3.2,
PI437499,I,N,P,T,E,N,Br,D,Y,Y,47.5,16.4,56.4,8.1,12002.0,710.0,907.0,84.0,907.0,1.4,2.5,16.5,3.4,
PI437500A,I,N,P,T,E,N,Br,D,Y,Br,43.8,18.9,57.5,7.7,12002.0,628.0,907.0,86.0,907.0,2.8,2.8,16.3,3.53,
PI437500B,III,N,P,T,E,N,Br,D,Y,Br,43.5,18.7,58.8,8.4,12005.0,709.0,918.0,95.0,918.0,3.3,2.0,14.5,2.72,
PI437500C,III,N,P,G,E,N,Br,D,Y,Bf,42.9,18.5,57.7,8.7,12005.0,707.0,918.0,97.0,918.0,3.9,2.3,15.3,2.81,
PI437501A,0,N,P,T,E,N,Br,D,Y,Y,45.0,18.4,56.3,7.2,12004.0,719.0,924.0,78.0,924.0,3.8,1.8,15.8,2.17,
PI437502,0,N,P,T,E,N,Br,I,Y,Br,44.0,18.8,51.5,8.3,12004.0,721.0,926.0,89.0,926.0,3.5,2.3,14.0,2.35,
PI437503,0,N,P,G,E,N,Br,I,Y,Y,44.2,18.0,52.5,8.9,12004.0,716.0,925.0,72.0,925.0,2.8,2.3,17.4,2.18,
PI437504,I,N,P,T,E,N,Br,I,Y,Br,46.3,18.5,53.5,6.1,12002.0,629.0,829.0,82.0,829.0,1.8,2.3,17.0,3.13,
PI437505,II,N,W,Lt,E,N,Br,D,Bl,Bl,48.1,17.8,53.5,5.4,12003.0,712.0,916.0,103.0,916.0,3.1,2.3,12.3,2.97,
PI437506,0,N,P,G,E,N,Br,I,Y,Y,45.2,18.0,54.4,8.8,12004.0,713.0,918.0,69.0,918.0,3.3,2.3,16.5,2.14,
PI437507,0,N,P,G,E,N,Br,S,Y,Y,43.5,18.9,53.0,8.1,12004.0,712.0,921.0,78.0,921.0,3.3,2.3,18.1,2.25,
PI437508A,0,N,P,G,E,N,Br,D,Y,Y,43.7,18.8,52.3,7.8,12004.0,713.0,922.0,64.0,922.0,3.0,2.5,17.9,2.4,
PI437508B,I,N,W,G,E,N,Dbr,S,Y,Bf,40.1,20.4,50.9,7.6,12002.0,710.0,909.0,70.0,909.0,1.8,2.3,16.3,3.59,
PI437509,I,N,P,Lt,E,Ssp,Bl,S,Gn,Br,45.1,18.3,56.5,6.0,12002.0,704.0,830.0,84.0,830.0,2.7,2.8,12.3,2.93,
PI437510,0,N,P,G,E,N,Br,S,Y,Y,43.1,18.5,54.1,8.7,12001.0,710.0,912.0,75.0,912.0,2.8,2.5,18.2,2.19,
PI437511,I,N,P,T,E,Ssp,Br,S,Bl,Bl,46.6,16.2,56.2,8.1,12002.0,704.0,830.0,87.0,830.0,2.2,2.3,12.4,2.98,
PI437512,0,N,P,T,E,N,Tn,I,Y,Y,44.0,18.5,56.3,7.9,12004.0,715.0,918.0,82.0,918.0,4.0,2.5,14.8,1.68,
PI437513,II,N,P,T,E,N,Br,S,Y,Y,45.0,19.8,55.8,6.8,12003.0,707.0,913.0,129.0,913.0,2.8,2.3,15.8,2.73,
PI437514A,I,N,P,G,E,N,Br,I,Y,G,42.7,20.6,46.6,5.6,12002.0,712.0,828.0,84.0,828.0,3.0,3.5,18.7,2.13,
PI437514B,I,N,W,G,E,N,Br,S,Y,Y,43.3,20.6,50.4,6.4,12002.0,630.0,830.0,93.0,830.0,2.6,2.8,18.6,3.05,
PI437515A,II,N,W,G,E,N,Br,D,Y,Y,44.6,19.1,54.3,7.6,12003.0,708.0,907.0,90.0,907.0,1.5,2.8,17.8,2.69,
PI437515B,II,N,P,G,E,N,Br,D,Y,Y,44.9,18.4,55.1,8.0,12003.0,708.0,914.0,97.0,914.0,2.8,2.3,14.2,2.71,
PI437516,I,N,P,G,E,Ssp,Br,S,Y,Y,43.5,18.3,54.8,8.3,12002.0,707.0,911.0,106.0,911.0,2.8,2.8,15.0,3.39,
PI437518,0,N,P,T,E,N,Br,D,Y,Br,43.3,19.2,52.7,8.1,12004.0,710.0,918.0,79.0,918.0,4.0,2.5,15.7,1.96,
PI437519,I,N,P,G,E,Ssp,Bl,I,Y,Bf,43.2,19.0,54.5,6.7,12002.0,629.0,827.0,68.0,827.0,2.1,3.0,16.7,3.17,
PI437520A,II,N,P,T,E,Ssp,Br,D,Y,Br,44.2,17.5,58.1,8.0,12003.0,704.0,907.0,98.0,907.0,3.0,2.3,12.0,2.51,
PI437520B,II,N,P,T,E,Ssp,Br,D,Y,Br,44.4,19.3,59.6,8.0,12003.0,709.0,914.0,97.0,914.0,2.9,2.5,13.4,2.95,
PI437521,0,N,P,T,E,N,Tn,I,Y,Y,44.7,18.4,52.4,8.2,12004.0,715.0,923.0,82.0,923.0,3.8,2.0,16.0,2.03,Stavropol'scaja 0399
PI437523,0,N,W,T,E,N,Bl,S,Gnbr,Br,43.2,17.7,53.4,7.7,12004.0,721.0,1002.0,109.0,1002.0,4.5,2.0,10.9,2.23,
PI437524,I,N,P,Lt,E,N,Bl,S,Gnbr,Br,47.0,14.9,55.0,8.2,12002.0,704.0,905.0,81.0,905.0,3.3,2.5,11.4,3.1,
PI437525,II,N,W,G,E,N,Br,I,Y,Bf,41.3,21.7,53.8,6.4,12003.0,703.0,909.0,67.0,909.0,2.0,3.5,13.8,2.47,Belotsercovscaja
PI437526A,0,N,P,G,E,N,Br,D,Y,Y,43.2,17.7,55.9,9.2,12004.0,713.0,927.0,85.0,927.0,4.0,2.5,19.2,2.38,Belotsercovscaja 59
PI437526B,I,N,P,G,E,N,Br,S,Y,G,43.4,19.3,55.3,7.3,12002.0,626.0,905.0,91.0,905.0,3.0,3.0,19.9,3.22,Belotsercovscaja 59
PI437527,0,N,P,T,E,N,Br,D,Y,Y,42.6,19.1,54.1,8.9,12004.0,711.0,916.0,92.0,916.0,3.8,2.3,15.4,2.21,Cel'merezcaja 2
PI437529,0,N,P,T,E,N,Br,I,Y,Bl,41.9,18.8,56.4,8.5,12004.0,712.0,916.0,81.0,916.0,4.0,2.3,13.8,1.96,Char'covscaja 149
PI437530,I,N,P,T,E,N,Br,S,Bl,Bl,47.6,17.3,55.4,6.4,12002.0,627.0,905.0,100.0,905.0,3.3,2.5,13.0,2.47,Chernaja VU 2260
PI437531,I,N,P,T,E,N,Tn,S,Y,Br,43.5,19.1,57.0,7.5,12002.0,628.0,829.0,89.0,829.0,1.5,1.8,11.6,2.68,Cirovogradscaja l
PI437533A,I,N,W,G,E,N,Br,S,Y,Bf,41.8,20.3,53.3,7.4,12002.0,708.0,910.0,79.0,910.0,2.9,2.5,16.0,3.44,Cvitea
PI437533B,I,N,W,G,E,N,Br,S,Y,Bf,42.5,19.8,51.1,7.4,12002.0,709.0,910.0,82.0,910.0,3.5,2.5,16.3,3.45,Cvitea
PI437535,II,N,P,T,E,N,Tn,I,Y,Br,44.4,20.7,53.2,6.5,12003.0,627.0,909.0,86.0,909.0,1.8,3.3,16.4,2.56,Dnepropetrovscaja ll
PI437538,I,N,W,G,E,N,Dbr,S,Y,Bf,41.3,20.1,50.0,7.3,12002.0,704.0,907.0,72.0,907.0,2.6,2.3,16.4,3.46,Dneprovscaja 2
PI437539,0,N,P,T,E,N,Br,D,Y,Y,41.1,19.6,54.7,8.5,12001.0,710.0,913.0,91.0,913.0,3.8,2.5,14.1,2.68,Dneprovscaja 12
PI437540,I,N,W,G,E,N,Dbr,S,Y,Bf,41.3,19.7,54.5,7.9,12002.0,708.0,903.0,79.0,903.0,2.9,2.5,13.3,3.55,Kirovogradscaja 6
PI437541,0,N,P,G,E,N,Br,I,Y,Y,42.1,19.3,54.5,7.4,12001.0,709.0,911.0,68.0,911.0,3.3,2.5,18.9,1.97,Norma
PI437542,0,N,P,T,E,N,Br,I,Y,Br,42.3,19.2,55.4,7.5,12004.0,710.0,917.0,70.0,917.0,3.3,2.3,16.5,2.03,Pratsja
PI437543,0,N,P,G,E,N,Br,I,Y,Y,42.8,19.1,55.9,8.2,12004.0,710.0,916.0,69.0,916.0,3.0,2.8,19.3,1.79,Pravda
PI437546,I,N,W,G,E,N,Dbr,S,Y,Bf,41.4,20.0,51.5,7.4,12002.0,704.0,904.0,63.0,904.0,1.9,2.5,13.8,3.43,2001/9/3
PI437550A,II,N,P,T,E,N,Br,I,Y,Bl,43.4,19.7,55.1,6.9,12003.0,716.0,916.0,106.0,916.0,3.0,2.3,19.6,2.32,
PI437550B,II,N,W,Lt,E,N,Br,I,Y,Bl,41.9,21.5,54.4,6.9,12003.0,627.0,908.0,87.0,908.0,1.5,2.5,25.1,3.3,
PI437550C,III,N,W,T,E,N,Br,D,Y,Br,45.3,17.2,58.9,9.0,12005.0,710.0,920.0,108.0,920.0,4.0,2.5,14.4,3.04,
PI437551,0,N,P,G,E,N,Br,I,Y,Y,41.6,19.0,55.2,8.3,12004.0,714.0,924.0,61.0,924.0,2.8,2.5,18.4,1.96,A-100
PI437552,0,N,P,G,E,N,Br,I,Y,G,43.9,18.3,53.2,8.3,12004.0,715.0,918.0,75.0,918.0,2.5,2.3,15.7,2.26,A-934
PI437553,0,N,P,G,E,Ssp,Br,S,Y,Y,44.2,18.6,52.6,6.7,12002.0,627.0,825.0,77.0,825.0,1.3,2.8,15.8,3.18,Aj-huej mestnyj
PI437556,I,N,P,G,E,N,Br,I,Y,Y,43.4,19.8,54.8,6.3,12002.0,629.0,903.0,81.0,903.0,2.1,2.8,15.2,3.55,Baj-hua-tso-tszu
PI437557,0,N,P,G,E,N,Br,S,Y,Y,42.4,18.8,53.4,8.4,12004.0,714.0,923.0,67.0,923.0,2.8,2.5,18.7,2.34,Baj-mej
PI437558,I,N,Pth,T,A,Sp,Dbr,B,Bl,Bl,46.1,13.4,56.5,9.8,12002.0,710.0,904.0,64.0,904.0,2.8,2.3,4.9,2.28,Ban'-e-sen-dou Jun 685
PI437559,I,N,P,G,E,N,Br,D,Y,Y,45.9,17.6,56.3,8.9,12002.0,629.0,831.0,67.0,831.0,1.3,2.8,16.9,3.15,Bej-an'-te-tszjao-tsin
PI437560,0,N,P,G,E,N,Br,I,Y,Y,44.5,18.3,53.2,9.2,12004.0,713.0,925.0,66.0,925.0,3.3,2.3,18.3,2.21,Bej-man' N41
PI437561,0,N,Dp,G,E,N,Br,I,Y,Y,44.4,17.9,53.6,8.9,12004.0,718.0,1002.0,72.0,1002.0,4.0,2.5,19.6,2.19,Bej-man' N217
PI437562,VIII,N,P,T,A,N,Br,Lb,Br,Br,46.9,11.4,58.7,8.6,491454.0,829.0,1101.0,152.0,1101.0,5.0,2.3,4.2,0.7,Bej-sjan'-ni-dou
PI437564,0,N,P,G,E,N,Br,I,Y,Y,44.1,18.5,54.4,9.2,12004.0,712.0,926.0,64.0,926.0,2.5,2.8,17.2,1.81,Cesi 283
PI437566,0,N,P,G,E,N,Br,I,Y,Y,44.1,19.9,54.7,8.6,12004.0,716.0,922.0,72.0,922.0,3.0,2.8,19.4,1.9,Ce-tszy 283
PI437567,I,N,W,G,E,N,Br,I,Y,Y,41.5,21.7,51.9,6.1,12002.0,630.0,910.0,71.0,910.0,1.3,2.8,13.7,3.54,Cha 49-2005
PI437568,II,N,P,Lt,E,N,Br,I,Gnbr,Br,41.9,20.4,53.7,6.2,12003.0,710.0,907.0,117.0,907.0,2.0,2.5,13.7,2.55,Chamosidou Guntszy 535
PI437569,II,N,P,G,E,N,Br,I,Y,Y,43.9,20.3,51.9,5.9,12003.0,627.0,904.0,90.0,904.0,2.5,3.0,19.6,3.06,Charbinscaja mestnaja
PI437570,0,N,Pth,T,A,Ssp,Dbr,B,Bl,Bl,45.4,15.8,54.4,7.3,12004.0,719.0,930.0,55.0,930.0,4.3,2.0,4.9,1.46,Charbinscaja poludicaja
PI437572,II,N,P,Lt,E,N,Br,D,Bl,Bl,46.8,15.7,56.6,8.0,12003.0,710.0,907.0,94.0,907.0,3.3,2.3,11.9,2.66,Chejmosidou Guntszy 540
PI437573B,II,N,P,T,E,N,Br,I,Y,Y,45.4,18.4,57.4,6.9,12003.0,707.0,912.0,101.0,912.0,2.3,2.5,13.9,2.75,Che-ti
PI437574,III,N,P,T,E,N,Br,S,Bl,Bl,45.6,16.1,56.5,8.0,12005.0,711.0,919.0,100.0,919.0,3.0,2.0,10.0,1.94,Chi-lu-Schu
PI437576,II,N,P,G,Sa,Ssp,Tn,I,Y,Ib,43.1,17.4,52.2,8.8,12003.0,720.0,919.0,93.0,919.0,3.9,2.0,10.5,2.09,Chuan-cun-tiao
PI437577,I,N,W,T,E,N,Br,S,Y,Br,43.8,18.8,55.5,7.7,12002.0,710.0,910.0,98.0,910.0,2.8,2.8,16.6,3.36,Chuan-da-dou
PI437578,III,N,W,G,E,N,Tn,I,Y,Bf,42.0,19.1,56.9,8.2,12005.0,717.0,923.0,103.0,923.0,1.0,2.5,16.5,3.36,Chuan-da-dou
PI437579,0,N,P,G,E,N,Br,S,Y,Y,44.7,16.5,54.8,9.2,12004.0,711.0,923.0,77.0,923.0,2.5,2.0,16.5,2.1,Chuan-li
PI437581,II,N,W,G,E,N,Br,S,Y,Lbf,43.1,19.9,49.3,5.8,12003.0,627.0,907.0,97.0,907.0,2.1,2.5,18.3,3.64,Chzeu-jao-dou
PI437582,0,N,P,G,E,N,Br,I,Y,Y,45.1,17.9,54.5,7.8,12004.0,719.0,927.0,73.0,927.0,4.0,2.0,18.5,2.52,Chzi-hua N1
PI437583,0,N,P,G,E,N,Br,I,Y,Y,44.5,18.3,53.9,8.0,12004.0,716.0,926.0,71.0,926.0,3.0,2.3,17.5,2.23,Chzi-hua N4
PI437584,I,N,W,G,E,N,Br,S,Y,Lbf,43.3,19.4,47.9,6.2,12002.0,630.0,910.0,96.0,910.0,2.3,2.0,18.1,3.76,Chzu-jao-dou
PI437585,II,N,W,G,E,N,Br,S,Y,Lbf,43.1,19.6,48.9,5.5,12003.0,627.0,907.0,94.0,907.0,2.0,2.5,18.8,3.6,Chzu-jau-dou
PI437586A,III,N,W,T,A,Ssp,Tn,D,Y,Br,45.1,15.8,53.5,7.5,12005.0,729.0,925.0,102.0,925.0,3.3,2.3,12.6,1.67,Crest'janscij A
PI437587,0,N,P,G,E,N,Br,I,Y,Y,45.8,17.9,53.8,8.7,12004.0,716.0,926.0,73.0,926.0,3.3,2.0,16.2,2.18,Cye-suan
PI437589,II,N,W,G,E,N,Br,S,Y,Lbf,43.2,20.5,54.2,6.7,12003.0,706.0,906.0,91.0,906.0,2.8,2.5,16.5,2.51,Da-huan-li
PI437590,0,N,P,G,E,N,Br,I,Y,Y,44.4,18.4,53.0,8.9,12004.0,714.0,920.0,66.0,920.0,2.5,2.5,19.4,2.03,Da-li-huan
PI437592,II,N,W,G,E,N,Dbr,I,Y,Bf,41.3,23.1,45.9,5.2,12003.0,707.0,908.0,89.0,908.0,2.0,3.0,18.7,2.88,Da-tszin'-huan
PI437593A,0,N,Dp,G,E,N,Br,I,Y,Y,44.8,18.4,53.5,8.5,12004.0,710.0,919.0,81.0,919.0,3.3,2.8,20.1,2.18,Da-tszin'-huan
PI437593B,II,N,W,G,E,N,Dbr,I,Y,Bf,41.9,21.7,45.9,5.1,12003.0,708.0,910.0,87.0,910.0,2.8,3.0,18.0,2.71,Da-tszin'-huan
PI437594A,I,N,P,G,E,N,Br,D,Y,Ib,45.2,17.6,51.9,8.2,12002.0,717.0,915.0,112.0,915.0,3.3,2.3,12.3,3.04,Dun-haj-sy-tszjao
PI437595,I,N,P,T,E,N,Br,S,Y,G,43.9,19.5,56.3,7.2,12002.0,625.0,827.0,90.0,827.0,1.8,2.8,16.0,2.29,Dun-nun 47-ID
