acid,MG,ST,FC,P_CLR,P_FRM,P_DENS,POD,SC_L,SC_CLR,H_CLR,protein,oil,Linoleic,Linolenic,eno,R1,R8,Hgt,Mat,Ldg,SQ,SdWgt,Yield,CommonName
PI181538,I,D,P,T,E,Ssp,Br,D,Y,Br,39.0,19.0,48.0,7.1,11002.0,708.0,909.0,66.0,909.0,1.4,2.3,16.5,1.61,
PI181539,IV,D,P,G,E,N,Bl,S,Lgn,Bf,45.0,17.5,53.5,9.6,11003.0,728.0,1013.0,79.0,1013.0,3.8,2.5,13.6,1.91,
PI181540,III,D,W,T,E,N,Br,S,Y,Br,45.6,17.0,50.5,9.1,11003.0,722.0,924.0,81.0,924.0,3.2,2.3,13.7,1.71,
PI181541,II,D,W,T,E,N,Br,S,Y,Br,43.2,16.3,46.7,7.6,11002.0,723.0,925.0,86.0,925.0,2.4,2.5,14.5,1.67,
PI181542,III,D,P,G,Sa,N,Br,S,Y,Y,41.8,19.9,53.3,9.6,11003.0,726.0,929.0,74.0,929.0,2.8,2.8,16.3,1.92,
PI181543,V,D,P,T,A,Ssp,Br,I,Y,Br,41.6,18.2,52.8,7.7,492374.0,619.0,919.0,64.0,919.0,3.0,2.5,13.8,1.12,
PI181544,V,D,P,T,A,Ssp,Br,D,Y,Y,42.4,19.2,50.7,6.2,492374.0,627.0,927.0,74.0,927.0,2.5,2.8,18.0,2.14,
PI181545,V,D,P,T,Sa,Ssp,Br,I,Y,Tn,43.1,18.2,55.4,7.2,492374.0,619.0,926.0,53.0,926.0,1.5,2.5,14.4,1.27,
PI181546,V,D,P,T,A,Ssp,Br,I,Y,Br,40.6,18.7,52.3,6.2,492374.0,619.0,919.0,48.0,919.0,1.5,3.3,14.3,1.67,
PI181547,V,D,W,G,A,N,Br,I,Y,Bf,40.9,20.6,56.9,5.8,492374.0,619.0,917.0,40.0,917.0,1.5,2.3,14.7,1.55,
PI181548,II,D,P,-,C,N,Tn,S,Y,Bf,38.0,18.7,45.1,7.3,11002.0,724.0,928.0,76.0,928.0,2.6,2.0,15.0,1.74,
PI181549,III,D,W,T,Sa,N,Tn,S,Y,Br,41.9,17.4,50.7,10.2,11003.0,730.0,1006.0,89.0,1006.0,4.2,2.3,10.8,1.46,
PI181550,IV,D,W,T,A,Ssp,Br,S,Y,Bl,45.2,17.5,52.5,10.7,11003.0,728.0,1009.0,81.0,1009.0,3.5,2.5,20.5,1.8,
PI181551,IV,D,P,T,A,Ssp,Br,S,Y,Br,42.2,19.5,52.3,10.9,11003.0,725.0,1008.0,64.0,1008.0,4.2,2.5,14.2,1.25,
PI181552,III,D,W,-,C,Ssp,Tn,I,Y,Y,41.3,19.5,54.0,10.6,11003.0,724.0,1012.0,76.0,1012.0,4.0,2.3,17.1,1.62,
PI181553,III,D,P,T,E,Ssp,Br,S,Y,Tn,41.8,18.1,52.2,10.4,11003.0,720.0,919.0,76.0,919.0,3.8,2.5,16.1,2.2,
